second,impressions,screen_time,exposure_rate
0,196,0.9333333333333333,0.9333333333333333
1,250,1.0333333333333334,1.0333333333333334
2,128,1.0,1.0
3,30,1.0,1.0
4,30,1.0,1.0
5,16,0.5333333333333333,0.5333333333333333
7,14,0.4666666666666667,0.4666666666666667
8,16,0.5333333333333333,0.5333333333333333
9,7,0.23333333333333334,0.23333333333333334
10,21,0.6333333333333333,0.6333333333333333
11,98,1.0,1.0
12,81,1.0,1.0
13,16,0.5333333333333333,0.5333333333333333
